Data,Rank,Artista,Música
"WEEK OF MARCH 2, 2024",4,Pedro Sampaio,Poc Poc
"WEEK OF MARCH 2, 2024",5,"Rj, DJ MK de Nitteroi, TR E MC Menor RV",Baby Eu Tava Na Rua Da Agua
"WEEK OF MARCH 2, 2024",6,Ivete Sangalo & LUDMILLA,Macetando
"WEEK OF MARCH 2, 2024",7,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF MARCH 2, 2024",8,"ArgoPlay, Ana Castela & LUDMILLA",Dia de Fluxo
"WEEK OF MARCH 2, 2024",9,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF MARCH 2, 2024",10,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF MARCH 2, 2024",11,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF MARCH 2, 2024",12,Matheus & Kauan,Nao Recomendo
"WEEK OF MARCH 2, 2024",13,Hugo & Guilherme,Vazou Na Braquiara
"WEEK OF MARCH 2, 2024",14,Luan & Ana Castela,Deja Vu
"WEEK OF MARCH 2, 2024",15,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF MARCH 2, 2024",16,"Borges, Veigh & MC Cabelinho",Loucura
"WEEK OF MARCH 2, 2024",17,Dilsinho & Ana Castela,Passada de Mao
"WEEK OF MARCH 2, 2024",18,Gusttavo Lima + Mari Fernandez,30 Cadeados (Ao Vivo)
"WEEK OF MARCH 2, 2024",19,Murilo Huff,Anestesiado
"WEEK OF MARCH 2, 2024",20,Isadora Pompeo,Bencaos Que Nao Tem Fim (Counting My Blessings)
"WEEK OF MARCH 2, 2024",21,"DJ WN, MC Hariel, MC Ryan SP, MC Paulin da Capital, MC Lipi, MC Vinny, Gabb MC, MC Kadu, MC Daniel, MC Gh do 7 & Nog",Ritmista 1.0
"WEEK OF MARCH 2, 2024",22,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF MARCH 2, 2024",23,"Ana Castela, Hungria & Alok",Lua
"WEEK OF MARCH 2, 2024",24,LUDMILLA,Maliciosa
"WEEK OF MARCH 2, 2024",25,Simone Mendes,Erro Gostoso
"WEEK OF FEBRUARY 24, 2024",1,Ivete Sangalo & LUDMILLA,Macetando
"WEEK OF FEBRUARY 24, 2024",2,Parangole & Leo Santana,Perna Bamba
"WEEK OF FEBRUARY 24, 2024",3,Pedro Sampaio,Poc Poc
"WEEK OF FEBRUARY 24, 2024",4,Lauana Prado,Me Leva Pra Casa/Escrito Nas Estrelas/Saudade (Ao Vivo)
"WEEK OF FEBRUARY 24, 2024",5,"ArgoPlay, Ana Castela & LUDMILLA",Dia de Fluxo
"WEEK OF FEBRUARY 24, 2024",6,"Rj, DJ MK de Nitteroi, TR E MC Menor RV",Baby Eu Tava Na Rua Da Agua
"WEEK OF FEBRUARY 24, 2024",7,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF FEBRUARY 24, 2024",8,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF FEBRUARY 24, 2024",9,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF FEBRUARY 24, 2024",10,"MC PH, Borges, WIU, Pedro Lotto & WEY",Tenho Que Me Decidir
"WEEK OF FEBRUARY 24, 2024",11,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF FEBRUARY 24, 2024",12,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF FEBRUARY 24, 2024",13,Hugo & Guilherme,Vazou Na Braquiara
"WEEK OF FEBRUARY 24, 2024",14,Leo Santana & Ze Felipe,Cama Repetida
"WEEK OF FEBRUARY 24, 2024",15,Luan & Ana Castela,Deja Vu
"WEEK OF FEBRUARY 24, 2024",16,Henry Freitas & Andrezin Araujo,Tem Cafe
"WEEK OF FEBRUARY 24, 2024",17,"Anitta, PEDRO SAMPAIO & DENNIS",Joga Pra Lua (Feat. Dennis Dj)
"WEEK OF FEBRUARY 24, 2024",18,"MC Ws da Leste, MC Chothie E DJ Chadin Do C",Tipo Hollywood
"WEEK OF FEBRUARY 24, 2024",19,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF FEBRUARY 24, 2024",20,Matheus & Kauan,Nao Recomendo
"WEEK OF FEBRUARY 24, 2024",21,Gusttavo Lima + Mari Fernandez,30 Cadeados (Ao Vivo)
"WEEK OF FEBRUARY 24, 2024",22,Simone Mendes,Erro Gostoso
"WEEK OF FEBRUARY 24, 2024",23,Clayton & Romario,Morena (Ao Vivo Em Barsilia)
"WEEK OF FEBRUARY 24, 2024",24,"Borges, Veigh & MC Cabelinho",Loucura
"WEEK OF FEBRUARY 24, 2024",25,Murilo Huff,Anestesiado
"WEEK OF FEBRUARY 17, 2024",1,Lauana Prado,Me Leva Pra Casa/Escrito Nas Estrelas/Saudade (Ao Vivo)
"WEEK OF FEBRUARY 17, 2024",2,Pedro Sampaio,Poc Poc
"WEEK OF FEBRUARY 17, 2024",3,Luan & Ana Castela,Deja Vu
"WEEK OF FEBRUARY 17, 2024",4,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF FEBRUARY 17, 2024",5,Ivete Sangalo & LUDMILLA,Macetando
"WEEK OF FEBRUARY 17, 2024",6,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF FEBRUARY 17, 2024",7,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF FEBRUARY 17, 2024",8,"ArgoPlay, Ana Castela & LUDMILLA",Dia de Fluxo
"WEEK OF FEBRUARY 17, 2024",9,"Rj, DJ MK de Nitteroi, TR E MC Menor RV",Baby Eu Tava Na Rua Da Agua
"WEEK OF FEBRUARY 17, 2024",10,Parangole & Leo Santana,Perna Bamba
"WEEK OF FEBRUARY 17, 2024",11,"MC PH, Borges, WIU, Pedro Lotto & WEY",Tenho Que Me Decidir
"WEEK OF FEBRUARY 17, 2024",12,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF FEBRUARY 17, 2024",13,Hugo & Guilherme,Vazou Na Braquiara
"WEEK OF FEBRUARY 17, 2024",14,"Borges, Veigh & MC Cabelinho",Loucura
"WEEK OF FEBRUARY 17, 2024",15,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF FEBRUARY 17, 2024",16,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF FEBRUARY 17, 2024",17,Murilo Huff,Anestesiado
"WEEK OF FEBRUARY 17, 2024",18,Matheus & Kauan,Nao Recomendo
"WEEK OF FEBRUARY 17, 2024",19,Leo Santana & Ze Felipe,Cama Repetida
"WEEK OF FEBRUARY 17, 2024",20,Guilherme & Benuto & Simone Mendes,Manda Um Oi
"WEEK OF FEBRUARY 17, 2024",21,Chefin,10 Carros
"WEEK OF FEBRUARY 17, 2024",22,Ana Castela,Solteiro Forcado
"WEEK OF FEBRUARY 17, 2024",23,Simone Mendes,Erro Gostoso
"WEEK OF FEBRUARY 17, 2024",24,"MC Ws da Leste, MC Chothie E DJ Chadin Do C",Tipo Hollywood
"WEEK OF FEBRUARY 17, 2024",25,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz & MC Menor Thalis",Baile do Bruxo
"WEEK OF FEBRUARY 10, 2024",1,Lauana Prado,Me Leva Pra Casa/Escrito Nas Estrelas/Saudade (Ao Vivo)
"WEEK OF FEBRUARY 10, 2024",2,Luan & Ana Castela,Deja Vu
"WEEK OF FEBRUARY 10, 2024",3,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF FEBRUARY 10, 2024",4,Pedro Sampaio,Poc Poc
"WEEK OF FEBRUARY 10, 2024",5,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF FEBRUARY 10, 2024",6,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF FEBRUARY 10, 2024",7,"MC PH, Borges, WIU, Pedro Lotto & WEY",Tenho Que Me Decidir
"WEEK OF FEBRUARY 10, 2024",8,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF FEBRUARY 10, 2024",9,"ArgoPlay, Ana Castela & LUDMILLA",Dia de Fluxo
"WEEK OF FEBRUARY 10, 2024",10,Ivete Sangalo & LUDMILLA,Macetando
"WEEK OF FEBRUARY 10, 2024",11,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF FEBRUARY 10, 2024",12,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF FEBRUARY 10, 2024",13,"Borges, Veigh & MC Cabelinho",Loucura
"WEEK OF FEBRUARY 10, 2024",14,Guilherme & Benuto & Simone Mendes,Manda Um Oi
"WEEK OF FEBRUARY 10, 2024",15,Chefin,10 Carros
"WEEK OF FEBRUARY 10, 2024",16,"Luan Pereira, MC Daniel & MC Ryan SP",Dentro da Hilux
"WEEK OF FEBRUARY 10, 2024",17,Murilo Huff,Anestesiado
"WEEK OF FEBRUARY 10, 2024",18,Simone Mendes,Erro Gostoso
"WEEK OF FEBRUARY 10, 2024",19,Ana Castela,Solteiro Forcado
"WEEK OF FEBRUARY 10, 2024",20,Isadora Pompeo,Bencaos Que Nao Tem Fim (Counting My Blessings)
"WEEK OF FEBRUARY 10, 2024",21,"Rj, DJ MK de Nitteroi, TR E MC Menor RV",Baby Eu Tava Na Rua Da Agua
"WEEK OF FEBRUARY 10, 2024",22,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz & MC Menor Thalis",Baile do Bruxo
"WEEK OF FEBRUARY 10, 2024",23,Hugo & Guilherme,Vazou Na Braquiara
"WEEK OF FEBRUARY 10, 2024",24,Simone Mendes,Dois Fugitivos
"WEEK OF FEBRUARY 10, 2024",25,Matheus & Kauan,Nao Recomendo
"WEEK OF FEBRUARY 3, 2024",1,Lauana Prado,Me Leva Pra Casa/Escrito Nas Estrelas/Saudade (Ao Vivo)
"WEEK OF FEBRUARY 3, 2024",2,Luan & Ana Castela,Deja Vu
"WEEK OF FEBRUARY 3, 2024",3,Pedro Sampaio,Poc Poc
"WEEK OF FEBRUARY 3, 2024",4,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF FEBRUARY 3, 2024",5,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF FEBRUARY 3, 2024",6,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF FEBRUARY 3, 2024",7,"MC PH, Borges, WIU, Pedro Lotto & WEY",Tenho Que Me Decidir
"WEEK OF FEBRUARY 3, 2024",8,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF FEBRUARY 3, 2024",9,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF FEBRUARY 3, 2024",10,Guilherme & Benuto & Simone Mendes,Manda Um Oi
"WEEK OF FEBRUARY 3, 2024",11,Chefin,10 Carros
"WEEK OF FEBRUARY 3, 2024",12,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF FEBRUARY 3, 2024",13,Isadora Pompeo,Bencaos Que Nao Tem Fim (Counting My Blessings)
"WEEK OF FEBRUARY 3, 2024",14,Simone Mendes,Erro Gostoso
"WEEK OF FEBRUARY 3, 2024",15,"Borges, Veigh & MC Cabelinho",Loucura
"WEEK OF FEBRUARY 3, 2024",16,Ana Castela,Solteiro Forcado
"WEEK OF FEBRUARY 3, 2024",17,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz & MC Menor Thalis",Baile do Bruxo
"WEEK OF FEBRUARY 3, 2024",18,"Luan Pereira, MC Daniel & MC Ryan SP",Dentro da Hilux
"WEEK OF FEBRUARY 3, 2024",19,"ArgoPlay, Ana Castela & LUDMILLA",Dia de Fluxo
"WEEK OF FEBRUARY 3, 2024",20,Simone Mendes,Dois Fugitivos
"WEEK OF FEBRUARY 3, 2024",21,Murilo Huff,Anestesiado
"WEEK OF FEBRUARY 3, 2024",22,Kevin O Chris & DJ Nk Da Serra,Faz Um Vuk Vuk (Teto Espelhado)
"WEEK OF FEBRUARY 3, 2024",23,Leo Santana & Ze Felipe,Cama Repetida
"WEEK OF FEBRUARY 3, 2024",24,Grego E Paulo Pires,Pane No Sistema
"WEEK OF FEBRUARY 3, 2024",25,Marilia Mendonca,Leao
"WEEK OF JANUARY 27, 2024",1,Luan & Ana Castela,Deja Vu
"WEEK OF JANUARY 27, 2024",2,Lauana Prado,Me Leva Pra Casa/Escrito Nas Estrelas/Saudade (Ao Vivo)
"WEEK OF JANUARY 27, 2024",3,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF JANUARY 27, 2024",4,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF JANUARY 27, 2024",5,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF JANUARY 27, 2024",6,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF JANUARY 27, 2024",7,Pedro Sampaio,Poc Poc
"WEEK OF JANUARY 27, 2024",8,"MC PH, Borges, WIU, Pedro Lotto & WEY",Tenho Que Me Decidir
"WEEK OF JANUARY 27, 2024",9,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF JANUARY 27, 2024",10,Guilherme & Benuto & Simone Mendes,Manda Um Oi
"WEEK OF JANUARY 27, 2024",11,Chefin,10 Carros
"WEEK OF JANUARY 27, 2024",12,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF JANUARY 27, 2024",13,Ariana Grande,"Yes, And?"
"WEEK OF JANUARY 27, 2024",14,Simone Mendes,Erro Gostoso
"WEEK OF JANUARY 27, 2024",15,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz & MC Menor Thalis",Baile do Bruxo
"WEEK OF JANUARY 27, 2024",16,Ana Castela,Solteiro Forcado
"WEEK OF JANUARY 27, 2024",17,Isadora Pompeo,Bencaos Que Nao Tem Fim (Counting My Blessings)
"WEEK OF JANUARY 27, 2024",18,Simone Mendes,Dois Fugitivos
"WEEK OF JANUARY 27, 2024",19,"Borges, Veigh & MC Cabelinho",Loucura
"WEEK OF JANUARY 27, 2024",20,Gusttavo Lima + Hugo & Guilherme,Torce O Olho
"WEEK OF JANUARY 27, 2024",21,"Luan Pereira, MC Daniel & MC Ryan SP",Dentro da Hilux
"WEEK OF JANUARY 27, 2024",22,Murilo Huff,Anestesiado
"WEEK OF JANUARY 27, 2024",23,Felipe Araujo E Luan Santana,Ultima Noite
"WEEK OF JANUARY 27, 2024",24,Luan Santana,Meio Termo
"WEEK OF JANUARY 27, 2024",25,Grego E Paulo Pires,Pane No Sistema
"WEEK OF JANUARY 20, 2024",1,Lauana Prado,Me Leva Pra Casa/Escrito Nas Estrelas/Saudade (Ao Vivo)
"WEEK OF JANUARY 20, 2024",2,"Silva MC, DJ F7, JC no Beat & MC Meno Dani",Maria Mariah
"WEEK OF JANUARY 20, 2024",3,Luan & Ana Castela,Deja Vu
"WEEK OF JANUARY 20, 2024",4,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF JANUARY 20, 2024",5,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF JANUARY 20, 2024",6,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF JANUARY 20, 2024",7,"MC PH, Borges, WIU, Pedro Lotto & WEY",Tenho Que Me Decidir
"WEEK OF JANUARY 20, 2024",8,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF JANUARY 20, 2024",9,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF JANUARY 20, 2024",10,Chefin,10 Carros
"WEEK OF JANUARY 20, 2024",11,Guilherme & Benuto & Simone Mendes,Manda Um Oi
"WEEK OF JANUARY 20, 2024",12,Pedro Sampaio,Poc Poc
"WEEK OF JANUARY 20, 2024",13,Simone Mendes,Erro Gostoso
"WEEK OF JANUARY 20, 2024",14,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF JANUARY 20, 2024",15,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz & MC Menor Thalis",Baile do Bruxo
"WEEK OF JANUARY 20, 2024",16,Simone Mendes,Dois Fugitivos
"WEEK OF JANUARY 20, 2024",17,Isadora Pompeo,Bencaos Que Nao Tem Fim (Counting My Blessings)
"WEEK OF JANUARY 20, 2024",18,Ana Castela,Solteiro Forcado
"WEEK OF JANUARY 20, 2024",19,Marilia Mendonca,Leao
"WEEK OF JANUARY 20, 2024",20,Gusttavo Lima + Hugo & Guilherme,Torce O Olho
"WEEK OF JANUARY 20, 2024",21,Leo Santana & Ze Felipe,Cama Repetida
"WEEK OF JANUARY 20, 2024",22,"Luan Pereira, MC Daniel & MC Ryan SP",Dentro da Hilux
"WEEK OF JANUARY 20, 2024",23,Ana Castela,Nosso Quadro
"WEEK OF JANUARY 20, 2024",24,"Borges, Veigh & MC Cabelinho",Loucura
"WEEK OF JANUARY 20, 2024",25,Grego E Paulo Pires,Pane No Sistema
"WEEK OF JANUARY 13, 2024",1,Luan & Ana Castela,Deja Vu
"WEEK OF JANUARY 13, 2024",2,Lauana Prado,Me Leva Pra Casa/Escrito Nas Estrelas/Saudade (Ao Vivo)
"WEEK OF JANUARY 13, 2024",3,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF JANUARY 13, 2024",4,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF JANUARY 13, 2024",5,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF JANUARY 13, 2024",6,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF JANUARY 13, 2024",7,"Silva MC, DJ F7, JC no Beat & MC Meno Dani",Maria Mariah
"WEEK OF JANUARY 13, 2024",8,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF JANUARY 13, 2024",9,Guilherme & Benuto & Simone Mendes,Manda Um Oi
"WEEK OF JANUARY 13, 2024",10,Simone Mendes,Erro Gostoso
"WEEK OF JANUARY 13, 2024",11,Simone Mendes,Dois Fugitivos
"WEEK OF JANUARY 13, 2024",12,"Luan Pereira, MC Daniel & MC Ryan SP",Dentro da Hilux
"WEEK OF JANUARY 13, 2024",13,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF JANUARY 13, 2024",14,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz & MC Menor Thalis",Baile do Bruxo
"WEEK OF JANUARY 13, 2024",15,Ana Castela,Solteiro Forcado
"WEEK OF JANUARY 13, 2024",16,Chefin,10 Carros
"WEEK OF JANUARY 13, 2024",17,Ana Castela,Nosso Quadro
"WEEK OF JANUARY 13, 2024",18,Marilia Mendonca,Leao
"WEEK OF JANUARY 13, 2024",19,"MC PH, Borges, WIU, Pedro Lotto & WEY",Tenho Que Me Decidir
"WEEK OF JANUARY 13, 2024",20,Gusttavo Lima + Hugo & Guilherme,Torce O Olho
"WEEK OF JANUARY 13, 2024",21,Traia Veia & Murilo Huff,Eu Nao Previ (Ao Vivo Em Goiania)
"WEEK OF JANUARY 13, 2024",22,"Ze Felipe, Luan Pereira & DENNIS",Entao Vai
"WEEK OF JANUARY 13, 2024",23,Pedro Sampaio,Poc Poc
"WEEK OF JANUARY 13, 2024",24,Isadora Pompeo,Bencaos Que Nao Tem Fim (Counting My Blessings)
"WEEK OF JANUARY 13, 2024",25,Gusttavo Lima & Matheus & Kauan,Mala Dos Porta Mala
"WEEK OF JANUARY 6, 2024",1,Lauana Prado,Me Leva Pra Casa/Escrito Nas Estrelas/Saudade (Ao Vivo)
"WEEK OF JANUARY 6, 2024",2,Manu Bahtidao & Simone Mendes,Daqui Pra Sempre
"WEEK OF JANUARY 6, 2024",3,Luan & Ana Castela,Deja Vu
"WEEK OF JANUARY 6, 2024",4,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7",Let's Go 4
"WEEK OF JANUARY 6, 2024",5,Ze Neto & Cristiano,Barulho Do Foguete
"WEEK OF JANUARY 6, 2024",6,Gusttavo Lima & Ana Castela,Canudinho
"WEEK OF JANUARY 6, 2024",7,Grupo Menos E Mais & Matheus Fernandes,Lapada Dela
"WEEK OF JANUARY 6, 2024",8,Guilherme & Benuto & Simone Mendes,Manda Um Oi
"WEEK OF JANUARY 6, 2024",9,Simone Mendes,Erro Gostoso
"WEEK OF JANUARY 6, 2024",10,Simone Mendes,Dois Fugitivos
"WEEK OF JANUARY 6, 2024",11,Ana Castela,Solteiro Forcado
"WEEK OF JANUARY 6, 2024",12,"Luan Pereira, MC Daniel & MC Ryan SP",Dentro da Hilux
"WEEK OF JANUARY 6, 2024",13,Ana Castela,Nosso Quadro
"WEEK OF JANUARY 6, 2024",14,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz & MC Menor Thalis",Baile do Bruxo
"WEEK OF JANUARY 6, 2024",15,Marilia Mendonca,Leao
"WEEK OF JANUARY 6, 2024",16,Ana Castela & Gustavo Mioto,Fronteira
"WEEK OF JANUARY 6, 2024",17,Traia Veia & Murilo Huff,Eu Nao Previ (Ao Vivo Em Goiania)
"WEEK OF JANUARY 6, 2024",18,Chefin,10 Carros
"WEEK OF JANUARY 6, 2024",19,"Silva MC, DJ F7, JC no Beat & MC Meno Dani",Maria Mariah
"WEEK OF JANUARY 6, 2024",20,"MC PH, Borges, WIU, Pedro Lotto & WEY",Tenho Que Me Decidir
"WEEK OF JANUARY 6, 2024",21,Gusttavo Lima & Matheus & Kauan,Mala Dos Porta Mala
"WEEK OF JANUARY 6, 2024",22,Isadora Pompeo,Bencaos Que Nao Tem Fim (Counting My Blessings)
"WEEK OF JANUARY 6, 2024",23,Ze Neto & Cristiano,Oi Balde
"WEEK OF JANUARY 6, 2024",24,Israel & Rodolffo & Mari Fernandez,Seu Brilho Sumiu
"WEEK OF JANUARY 6, 2024",25,Grego E Paulo Pires,Pane No Sistema
